price,status,area,rate_per_sqft,property_type,locality,builder_name,rera_approval,bhk_count,society,company_name,flat_type
850000.0,ready to move,540,1575,1 BHK Apartment,Sector 48,Property In Gurgaon,False,1,Outside Socity,Outside,plot
900000.0,under construction,540,1666,1 BHK Apartment,Sector 57,properties for sale in Gurgaon,False,1,Outside Socity,Outside,plot
9181000.0,under construction,1440,6375,3 BHK Apartment in Signature Global City 37D,Sector 37D,NCR Height Real Estate,True,3, Signature Global City 37D,Signature,apartment
9200000.0,ready to move,1350,6814,3 BHK Apartment in Unitech South City II,Sector 49,Kanishka Properties,False,3, Unitech South City II,Unitech,apartment
6500000.0,ready to move,1300,5000,3 BHK Independent Floor,New colony,Kanishka Properties,False,3,Outside Socity,Outside,plot
5676000.0,under construction,1154,4923,2 BHK Apartment in Signature Global Global Park 2 And 3,Sector 36 Sohna,Aeris Realty,True,2, Signature Global Global Park 2 And 3,Signature,apartment
7019000.0,under construction,1440,4878,3 BHK Apartment in Signature Global Global Park 2 And 3,Sector 36 Sohna,Jitendera property,True,3, Signature Global Global Park 2 And 3,Signature,apartment
5944000.0,under construction,1211,4912,3 BHK Apartment in Signature Global Global Park 2 And 3,Sector 36 Sohna,r r associate,True,3, Signature Global Global Park 2 And 3,Signature,apartment
4228000.0,under construction,845,5004,2 BHK Apartment in Signature Global Global Park 2 And 3,Sector 36 Sohna,GURGAON PROPERTY HUBS,True,2, Signature Global Global Park 2 And 3,Signature,apartment
3760000.0,under construction,746,5047,2 BHK Apartment in Signature Global Global Park 2 And 3,Sector 36 Sohna,GURGAON PROPERTY HUBS,True,2, Signature Global Global Park 2 And 3,Signature,apartment
4122000.0,under construction,823,5015,2 BHK Apartment in Signature Global Global Park 2 And 3,Sector 36 Sohna,GURGAON PROPERTY HUBS,True,2, Signature Global Global Park 2 And 3,Signature,apartment
2055999.9999999998,ready to move,514,4000,2 BHK Apartment in Signature Global The Roselia,Sector 95A,GURGAON PROPERTY HUBS,False,2, Signature Global The Roselia,Signature,apartment
2276000.0,ready to move,569,4000,2 BHK Apartment in Signature Global The Roselia,Sector 95A,GURGAON PROPERTY HUBS,False,2, Signature Global The Roselia,Signature,apartment
9754000.0,under construction,1478,6600,2 BHK Apartment in M3M Natura,Sector 68,GURGAON PROPERTY HUBS,True,2, M3M Natura,M3M,apartment
13500000.0,ready to move,2250,6000,3 BHK Independent Floor,Sector 48,GURGAON PROPERTY HUBS,False,3,Outside Socity,Outside,plot
8100000.0,under construction,1385,5848,2 BHK Apartment in Godrej Nature Plus,Sector 33 Sohna,GURGAON PROPERTY HUBS,True,2, Godrej Nature Plus,Godrej,apartment
24900000.000000004,under construction,2217,11231,3 BHK Apartment in TATA Housing Development TATA La Vida,Sector 113,Individual Agent,True,3, TATA Hous,TATA,apartment
17000000.0,under construction,1579,10766,3 BHK Apartment in TATA Housing Development TATA La Vida,Sector 113,Maison Infratech Pvt Ltd,True,3, TATA Hous,TATA,apartment
14000000.0,under construction,1330,10526,2 BHK Apartment in TATA Housing Development TATA La Vida,Sector 113,Karshni Buildwell,True,2, TATA Hous,TATA,apartment
29900000.000000004,under construction,2690,11115,3 BHK Apartment in TATA Housing Development TATA La Vida,Sector 113,home,True,3, TATA Hous,TATA,apartment
16000000.0,under construction,1573,10171,2 BHK Apartment in TATA Housing Development TATA La Vida,Sector 113,Property In Gurgaon,True,2, TATA Hous,TATA,apartment
12900000.0,under construction,1276,10109,2 BHK Apartment in TATA Housing Development TATA La Vida,Sector 113,properties for sale in Gurgaon,True,2, TATA Hous,TATA,apartment
15200000.0,ready to move,2650,5773,4 BHK Apartment in Mapsko Mount Ville,Sector 79,Growmax Wealth Management Services,False,4, Mapsko Mount Ville,Mapsko,apartment
10500000.0,ready to move,1850,5676,3 BHK Apartment in Mapsko Mount Ville,Sector 79,Growmax Wealth Management Services,False,3, Mapsko Mount Ville,Mapsko,apartment
8700000.0,ready to move,1490,5839,3 BHK Apartment in Mapsko Mount Ville,Sector 79,Growmax Wealth Management Services,False,3, Mapsko Mount Ville,Mapsko,apartment
17600000.0,under construction,2003,8801,3 BHK Apartment in Sobha City,Sector 108,Philby Real Estate,True,3, Sobha City,Sobha,apartment
13000000.0,under construction,2100,6190,3 BHK Apartment in M3M Flora 68,Sector 68,Philby Real Estate,True,3, M3M Flora 68,M3M,apartment
25000000.0,ready to move,2595,9633,3 BHK Apartment in Pioneer Pioneer Presidia,Sector 62,Philby Real Estate,False,3, Pioneer Pioneer Presidia,Pioneer,apartment
2500000.0,under construction,813,3075,2 BHK Apartment in Suncity Avenue 76,Sector 76,Growmax Wealth Management Services,True,2, Suncity Avenue 76,Suncity,apartment
33100000.0,ready to move,4632,7149,4 BHK Apartment in Spaze Privy,Sector 72,GD Landbase,False,4, Spaze Privy,Spaze,apartment
33100000.0,ready to move,4632,7149,5 BHK Apartment in Spaze Privy,Sector 72,Realstat,False,5, Spaze Privy,Spaze,apartment
35000000.0,under construction,2250,15555,3 BHK Apartment in Puri The Aravallis,Sector 61,GD Landbase,True,3, Puri The Aravallis,Puri,apartment
14600000.0,ready to move,1930,7564,3 BHK Apartment in DLF The Skycourt,Sector 86,Spaze Towers Pvt Ltd,False,3, DLF The Skycourt,DLF,apartment
15700000.0,under construction,2180,7201,4 BHK Apartment in Shapoorji Pallonji JoyVille,Sector 102,Spaze Towers Pvt Ltd,True,4, Shapoorji Pallonji JoyVille,Shapoorji,apartment
6500000.0,under construction,1103,5893,2 BHK Apartment in Smart Smart World Gems,Sector 89,Vikram Singh,True,2, Smart Smart World Gems,Smart,apartment
2400000.0,under construction,915,2622,2 BHK Apartment in Pyramid Pride,Sector 76,Karshni Buildwell,True,2, Pyramid Pride,Pyramid,apartment
2370000.0,under construction,910,2604,2 BHK Apartment in Pyramid Pride,Sector 76,Growmax Wealth Management Services,True,2, Pyramid Pride,Pyramid,apartment
3500000.0,under construction,1045,3349,2 BHK Apartment,Silver Oaks Avenue,realty investors,False,2,Outside Socity,Outside,plot
7400000.0,ready to move,1475,5016,3 BHK Apartment in Orris Carnation Residency,Sector 85,GD Landbase,False,3, Orris Carnation Residency,Orris,apartment
42500000.0,ready to move,5260,8079,4 BHK Apartment in SS The Hibiscus,Sector 50,home,False,4, SS The Hibiscus,SS,apartment
9000000.0,ready to move,1187,7582,2 BHK Apartment in BPTP Astaire Garden Floors,Sector 70A,Property In Gurgaon,False,2, BPTP Astaire Garden Floors,BPTP,apartment
35000000.0,ready to move,2700,12962,7 BHK Independent House,Sector 14,properties for sale in Gurgaon,False,7,Outside Socity,Outside,plot
5625000.0,under construction,1020,5514,2 BHK Apartment in Signature Global Floors,Sector 36 Sohna,Ankur Estate,True,2, Signature Global Floors,Signature,apartment
6500000.0,under construction,1120,5803,3 BHK Apartment in Signature Global Park,Sector 36 Sohna,sumit pratap,True,3, Signature Global Park,Signature,apartment
4800000.0,ready to move,1125,4266,2 BHK Apartment in The Antriksh Heights,Sector 84,realbuyers,False,2, The Antriksh Heights,The,apartment
29900000.000000004,under construction,2690,11115,3 BHK Apartment in TATA Housing Development TATA La Vida,Sector 113,Praveen Kumar,True,3, TATA Hous,TATA,apartment
12900000.0,under construction,1276,10109,2 BHK Apartment in TATA Housing Development TATA La Vida,Sector 113,Praveen Kumar,True,2, TATA Hous,TATA,apartment
24900000.000000004,under construction,2217,11231,3 BHK Apartment in TATA Housing Development TATA La Vida,Sector 113,DHARA REALTECH PVT LTD,True,3, TATA Hous,TATA,apartment
14000000.0,under construction,1330,10526,2 BHK Apartment in TATA Housing Development TATA La Vida,Sector 113,Growmax Wealth Management Services,True,2, TATA Hous,TATA,apartment
42600000.0,ready to move,3700,11513,3 BHK Apartment in Experion Windchants,Sector 112,Growmax Wealth Management Services,False,3, Experion W,Experion,apartment
17000000.0,under construction,1579,10766,3 BHK Apartment in TATA Housing Development TATA La Vida,Sector 113,Growmax Wealth Management Services,True,3, TATA Hous,TATA,apartment
15400000.0,ready to move,1381,11151,2 BHK Apartment in Sobha City,Sector 108,Growmax Wealth Management Services,False,2, Sobha City,Sobha,apartment
32599999.999999996,ready to move,2802,11634,3 BHK Apartment in Experion Windchants,Sector 112,Growmax Wealth Management Services,False,3, Experion W,Experion,apartment
16000000.0,under construction,1573,10171,2 BHK Apartment in TATA Housing Development TATA La Vida,Sector 113,Growmax Wealth Management Services,True,2, TATA Hous,TATA,apartment
27700000.0,ready to move,2821,9819,4 BHK Apartment in Pioneer Presidia,Sector 62,Growmax Wealth Management Services,False,4, Pioneer Presidia,Pioneer,apartment
25400000.0,ready to move,2595,9788,3 BHK Apartment in Pioneer Presidia,Sector 62,Growmax Wealth Management Services,False,3, Pioneer Presidia,Pioneer,apartment
7500000.0,under construction,1105,6787,2 BHK Apartment in Smart Smart World Gems,Sector 89,Growmax Wealth Management Services,True,2, Smart Smart World Gems,Smart,apartment
3000000.0,ready to move,820,3658,2 BHK Independent Floor in Haryana Properties HUDA Project Laxman Vihar,Sector 5,Realstat,False,2, Haryana Properties HUDA Project Laxman Vihar,Haryana,floor
3500000.0,ready to move,895,3910,2 BHK Independent Floor,Ashok Vihar Phase III Extension,Realstat,False,2,Outside Socity,Outside,plot
3499000.0,ready to move,895,3910,2 BHK Independent Floor,Ashok Vihar Phase III Extension,home,False,2,Outside Socity,Outside,plot
15500000.0,ready to move,1805,8587,3 BHK Apartment,Sector 49,Property In Gurgaon,False,3,Outside Socity,Outside,plot
19800000.0,ready to move,1711,11572,3 BHK Apartment in Sobha City,Sector 108,properties for sale in Gurgaon,False,3, Sobha City,Sobha,apartment
13400000.0,under construction,1330,10075,2 BHK Apartment in TATA Housing Development TATA La Vida,Sector 113,Best Deal,True,2, TATA Hous,TATA,apartment
32599999.999999996,ready to move,2802,11634,3 BHK Apartment in Experion Windchants,Sector 112,Sanjay Arora Associates,False,3, Experion W,Experion,apartment
15400000.0,under construction,1573,9790,2 BHK Apartment in TATA Housing Development TATA La Vida,Sector 113,Growmax Wealth Management Services,True,2, TATA Hous,TATA,apartment
23100000.0,ready to move,2003,11532,3 BHK Apartment in Sobha City,Sector 108,Growmax Wealth Management Services,False,3, Sobha City,Sobha,apartment
